DATE,RIDE TYPE,ROUTE,TIME,DISTANCE,AVG SPEED,MAX SPEED,AVG CADENCE,MAX CADENCE,AVG HR,MAX HR,BRPM(AVG),BRPM(MAX),ELAVATION GAIN,AVG POWER,MAX POWER,FTP,TOTAL WORK KJ,LOAD,CALORIES BURNED
12/1/2022,TRAINER,MILANO,0:27:50,9.68,18.1,21.5,97,116,163,182,36,42,75,243,360,200,399,217,437
12/3/2022,ROAD,ZUBE STOKES,1:04:18,17.02,15.9,22.4,86,115,166,178,38,43,121.4,209,778,200,828,515,919
12/7/2022,ROAD,DJP,1:25:00,21,15,23.9,85,123,169,179,38,43,413,113,483,200,538.5,267,686
12/10/2022,ROAD,ZUBE STOKES,2:42:40,43.44,16,23.9,80,128,161,178,37,44,508,118,446,200,1145,299,1371
12/16/2022,TRAINER,GENT,0:30:17,8.33,16.3,24.5,97,137,166,179,38,43,141,131,352,200,236,150,277
12/18/2022,ROAD,DJP,1:24:51,20.69,14.6,26.1,74,117,151,167,33,42,374,118,125,200,599,160,716
12/22/2022,ROAD,DJP,1:17:41,20.42,15.8,23.3,80,119,170,184,39,45,374,129,152,200,601,286,708
12/28/2022,ROAD,DJP,2:10:42,33,15.2,26.6,86,143,174,188,39,45,689,118,539,200,928,481,1109
12/31/2022,ROAD,DJP,2:09:20,33.04,15.3,24.7,80,141,168,182,37,43,629.9,111,644,200,864,306,1042
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
