DATE,RIDE TYPE,ROUTE,TIME,DISTANCE,AVG SPEED,MAX SPEED,AVG CADENCE,MAX CADENCE,AVG HR,MAX HR,BRPM(AVG),BRPM(MAX),ELAVATION GAIN,AVG POWER,MAX POWER,KJ,LOAD,CALORIES BURNED
10/1/2022,ROAD CYCLING,ZUBE  GROUP,1:54:52,29.41,15.4,21.7,,,77,106,,,331,87,,,,1424
10/8/2022,ROAD CYCLING,DJP,2:15:31,32.14,14.2,26.4,,,147,175,,,620,84,,,,1330
10/9/2022,ROAD CYCLING,SUN SKI,1:52:20,30.51,16.3,23.2,,,158,179,,,354,108,,,,1483
10/13/2022,STATIONARY BIKE,NONE,0:45:01,13.5,0,0,,,140,163,,,0,0,,,,459
10/15/2022,ROAD CYCLING,ZUBE STOKES,2:49:06,42.99,15.3,24.4,78,107,156,175,36,46,512,88,,889,,2096
10/18/2022,TRAINER,BARCELONA,0:52:11,13.06,15,20,89,104,159,171,38,44,407,103,134,322,31,321
10/19/2022,TRAINER,AMSTERDAM,1:16:38,21.72,17,22.6,95,114,164,175,0,0,157,102,218,472,101,471
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
